trade_id,trader_id,counterparty_id,price,volume,timestamp,is_fraud,fraud_type
690663,T005,T014,172.09,361,2026-08-22T14:15:17.020107+00:00,False,
250111,T021,T017,238.74,686,2026-08-22T14:15:18.138978+00:00,False,
992444,T037,T028,401.35,523,2026-08-22T14:15:19.140277+00:00,False,
854221,T040,T030,392.43,471,2026-08-22T14:15:20.140903+00:00,False,
318870,T005,T027,106.71,891,2026-08-22T14:15:21.141507+00:00,False,
491766,T023,T040,132.34,357,2026-08-22T14:15:22.142739+00:00,False,
643536,T012,T034,281.28,64,2026-08-22T14:15:23.143246+00:00,False,
260040,T008,T020,445.01,32,2026-08-22T14:15:24.143822+00:00,False,
979103,T043,T014,198.85,812,2026-08-22T14:15:25.145260+00:00,False,
237424,T036,T016,484.75,144,2026-08-22T14:15:26.146344+00:00,False,
696948,T045,T048,381.74,139,2026-08-22T14:15:27.147858+00:00,False,
755444,T042,T014,268.85,540,2026-08-22T14:15:28.149222+00:00,False,
694685,T021,T001,404.63,48,2026-08-22T14:15:29.150471+00:00,False,
508194,T021,T019,223.48,912,2026-08-22T14:15:30.150912+00:00,False,
619706,T010,T012,445.22,665,2026-08-22T14:15:31.151527+00:00,False,
467326,T033,T047,275.81,510,2026-08-22T14:15:32.154307+00:00,False,
294454,T007,T014,456.02,405,2026-08-22T14:15:33.155771+00:00,False,
561584,T030,T027,257.98,5899,2026-08-22T14:15:34.157091+00:00,True,spoofing
636420,T030,T020,258.38,9398,2026-08-22T14:15:34.157121+00:00,True,spoofing
420286,T030,T007,332.12,8545,2026-08-22T14:15:34.157199+00:00,True,spoofing
879759,T030,T018,422.16,8883,2026-08-22T14:15:34.157216+00:00,True,spoofing
242760,T038,T024,397.11,792,2026-08-22T14:15:35.360502+00:00,False,
699142,T009,T009,267.45,857,2026-08-22T14:15:36.361837+00:00,False,
928153,T030,T007,322.68,513,2026-08-22T14:15:37.363270+00:00,False,
605670,T005,T020,194.7,1,2026-08-22T14:15:38.364755+00:00,False,
905448,T050,T028,159.22,783,2026-08-22T14:15:39.366160+00:00,False,
100643,T018,T032,180.84,563,2026-08-22T14:15:40.367174+00:00,False,
186284,T020,T027,427.85,509,2026-08-22T14:15:41.368558+00:00,False,
211712,T020,T017,494.83,816,2026-08-22T14:15:42.370050+00:00,False,
371364,T042,T011,369.22,664,2026-08-22T14:15:43.371451+00:00,False,
650950,T026,T044,284.57,128,2026-08-22T14:15:44.372738+00:00,False,
325754,T044,T030,292.17,15,2026-08-22T14:15:45.374013+00:00,False,
969642,T001,T016,218.86,664,2026-08-22T14:15:46.375177+00:00,False,
745170,T009,T047,443.36,918,2026-08-22T14:15:47.375647+00:00,False,
428342,T008,T022,108.87,9341,2026-08-22T14:15:48.376217+00:00,True,spoofing
944938,T008,T034,269.97,8290,2026-08-22T14:15:48.376241+00:00,True,spoofing
392610,T008,T005,182.64,6695,2026-08-22T14:15:48.376248+00:00,True,spoofing
570805,T008,T016,327.08,9485,2026-08-22T14:15:48.376254+00:00,True,spoofing
855246,T044,T030,140.26,780,2026-08-22T14:15:49.581744+00:00,False,
898127,T035,T021,406.01,293,2026-08-22T14:15:50.582385+00:00,False,
891624,T019,T034,274.72,492,2026-08-22T14:15:51.583572+00:00,False,
948268,T028,T025,377.02,937,2026-08-22T14:15:52.584802+00:00,False,
738655,T012,T044,250.48,544,2026-08-22T14:15:53.585930+00:00,False,
761763,T039,T041,133.46,287,2026-08-22T14:15:54.586471+00:00,False,
253249,T048,T001,481.04,153,2026-08-22T14:15:55.587797+00:00,False,
234732,T019,T036,343.85,658,2026-08-22T14:15:56.588410+00:00,False,
449109,T026,T001,404.94,751,2026-08-22T14:15:57.589796+00:00,False,
811544,T027,T030,374.88,128,2026-08-22T14:15:58.591085+00:00,False,
